CENTRAL POLLUTION CONTROL BOARD,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,
"Date: Thursday, Apr 08 2021",,,,,,,,
Time: 04:23:17 PM,,,,,,,,
State,Delhi,,,,,,,
City,Delhi,,,,,,,
Station,"R K Puram, Delhi - DPCC",,,,,,,
Parameter,"PM2.5,PM10",,,,,,,
AvgPeriod,24 Hours,,,,,,,
From,01-01-2015T00:00:00Z 00:00,,,,,,,
To,01-01-2016T00:00:59Z 00:00,,,,,,,
,,,,,,,,
"R K Puram, Delhi - DPCC",,,,,,,,
Prescribed Standards, ,0-60,0-100,,,,,
Exceeding Standards, ,NA,NA,,,,,
Remarks,,,,,,,,
From Date,To Date,PM2.5,PM10,,,,,
30-10-2015 00:00,31-10-2015 00:00,91.28,160.15,,,,,
31-10-2015 00:00,01-11-2015 00:00,None,None,,,,,
01-11-2015 00:00,02-11-2015 00:00,227.49,451.11,,,,,
02-11-2015 00:00,03-11-2015 00:00,92.87,383.8,,,,,
03-11-2015 00:00,04-11-2015 00:00,251.25,429.29,,,,,
04-11-2015 00:00,05-11-2015 00:00,257.69,448.58,,,,,
05-11-2015 00:00,06-11-2015 00:00,129.92,234.32,,,,,
06-11-2015 00:00,07-11-2015 00:00,145.35,264.78,,,,,
07-11-2015 00:00,08-11-2015 00:00,322.3,498.66,,,,,
08-11-2015 00:00,09-11-2015 00:00,228.31,364.6,,,,,
09-11-2015 00:00,10-11-2015 00:00,216.32,382.74,,,,,
10-11-2015 00:00,11-11-2015 00:00,307.33,498.64,,,,,
11-11-2015 00:00,12-11-2015 00:00,343.4,507.68,,,,,
12-11-2015 00:00,13-11-2015 00:00,306,468.88,,,,,
13-11-2015 00:00,14-11-2015 00:00,327.81,466.06,,,,,
14-11-2015 00:00,15-11-2015 00:00,237.48,364.87,,,,,
15-11-2015 00:00,16-11-2015 00:00,228.57,400.3,,,,,
16-11-2015 00:00,17-11-2015 00:00,210.11,395.72,,,,,
17-11-2015 00:00,18-11-2015 00:00,241.12,509.36,,,,,
18-11-2015 00:00,19-11-2015 00:00,215.38,434.94,,,,,
19-11-2015 00:00,20-11-2015 00:00,291.91,497.92,,,,,
20-11-2015 00:00,21-11-2015 00:00,297.97,562.82,,,,,
21-11-2015 00:00,22-11-2015 00:00,298.67,508.76,,,,,
22-11-2015 00:00,23-11-2015 00:00,283.59,476.03,,,,,
23-11-2015 00:00,24-11-2015 00:00,290.89,606.23,,,,,
24-11-2015 00:00,25-11-2015 00:00,276.62,537.2,,,,,
25-11-2015 00:00,26-11-2015 00:00,164.27,315.67,,,,,
26-11-2015 00:00,27-11-2015 00:00,219.03,387.07,,,,,
27-11-2015 00:00,28-11-2015 00:00,195.85,448.45,,,,,
28-11-2015 00:00,29-11-2015 00:00,197.48,326.22,,,,,
29-11-2015 00:00,30-11-2015 00:00,286.17,508.09,,,,,
30-11-2015 00:00,01-12-2015 00:00,308.24,508.04,,,,,
01-12-2015 00:00,02-12-2015 00:00,200.18,357.27,,,,,
02-12-2015 00:00,03-12-2015 00:00,207.47,423.28,,,,,
03-12-2015 00:00,04-12-2015 00:00,224.26,433.04,,,,,
04-12-2015 00:00,05-12-2015 00:00,320.67,518.15,,,,,
05-12-2015 00:00,06-12-2015 00:00,409.69,512.07,,,,,
06-12-2015 00:00,07-12-2015 00:00,164.75,554.69,,,,,
07-12-2015 00:00,08-12-2015 00:00,233.49,456.88,,,,,
08-12-2015 00:00,09-12-2015 00:00,183.99,508.37,,,,,
09-12-2015 00:00,10-12-2015 00:00,240.65,390.24,,,,,
10-12-2015 00:00,11-12-2015 00:00,237.17,414.65,,,,,
11-12-2015 00:00,12-12-2015 00:00,225.92,466.05,,,,,
12-12-2015 00:00,13-12-2015 00:00,102.41,354.14,,,,,
13-12-2015 00:00,14-12-2015 00:00,13.65,291.52,,,,,
14-12-2015 00:00,15-12-2015 00:00,None,333.12,,,,,
15-12-2015 00:00,16-12-2015 00:00,None,None,,,,,
16-12-2015 00:00,17-12-2015 00:00,None,None,,,,,
17-12-2015 00:00,18-12-2015 00:00,None,None,,,,,
18-12-2015 00:00,19-12-2015 00:00,None,None,,,,,
19-12-2015 00:00,20-12-2015 00:00,None,None,,,,,
20-12-2015 00:00,21-12-2015 00:00,None,None,,,,,
21-12-2015 00:00,22-12-2015 00:00,None,None,,,,,
22-12-2015 00:00,23-12-2015 00:00,321.54,708.07,,,,,
23-12-2015 00:00,24-12-2015 00:00,435.24,624.67,,,,,
24-12-2015 00:00,25-12-2015 00:00,208.06,372.78,,,,,
25-12-2015 00:00,26-12-2015 00:00,171.65,288.57,,,,,
26-12-2015 00:00,27-12-2015 00:00,233.43,364.43,,,,,
27-12-2015 00:00,28-12-2015 00:00,255.28,388.74,,,,,
28-12-2015 00:00,29-12-2015 00:00,174.42,309.82,,,,,
29-12-2015 00:00,30-12-2015 00:00,196.16,370.47,,,,,
30-12-2015 00:00,31-12-2015 00:00,279.42,418.06,,,,,
31-12-2015 00:00,01-01-2016 00:00,274.09,411.31,,,,,
